Sr.No	PIC	Name of Dam	Operated & Maintained by	Latitude	Longitude	Year of Completion	River Basin	River	Neareast City	Seismic Zone	Dam Type	Height above Lowest Foundation Level	Dam Length	Volume Content of Dam	Gross Storage Capacity	Reservoir Area	Effective Storage Capacity	Purpose	Designed Spillway Capacity
200	KA06MH0203	Kodli-Allapur	Karnataka Water Resources Department	17.42027778	77.20888889	2000	Krishna	Local Mullamari K-6	Chincholi	II	Earthfill_Embankment	16.93	510.00	495000.00	5011820	985000	4511400	I	198
61	KA06MH0063	Bellathasanahalla Tank	Karnataka Water Resources Department	11.94166667	77.10361111	1966	Cauvery	Bellathasanahalla	Yelandur	II	Earthfill_Embankment	18.89	1155.36	11720	4440000	670000	4440000	I	83.45
60	KA06MH0062	Yallur Tank	Karnataka Water Resources Department	15.77361111	74.53222222	1965	Krishna	Local Nala of Mkd Sb Bi	Belgaum	II	Earthfill_Embankment	15.5	393	139880	4371500	82900	4300000	I	420
221	KA06LH0226	Sarigehally Tank	Karnataka Water Resources Department	13.22694444	76.71861111		Cauvery	Shimsha	Turuvekere	II	Earthfill_Embankment	14.8	1200	503000	4300000	4200000	4300000	I	85.40
40	KA06LH0042	Parashuramapura New Tank	Karnataka Water Resources Department	14.25666667	76.89472222	1959	Krishna	Malenurahalla	Challakere	II	Earthfill_Embankment	12.19	1650	106000	5200000	2690000	4270000	I	604.64
23	KA06LH0025	Tumbodi Amanikere Tank	Karnataka Water Resources Department	13.5625	77.23527778	1939	Pennar	Dodda Halla	Koratagere	II	Earthfill_Embankment	12.6	480	172000	4160000	867000	3960000	I	229.84
74	KA06MH0076	Chakena Hally Tank	Karnataka Water Resources Department	12.88972222	76.24333333	1970	Cauvery	Hemavathy River	Holenarasipura	II	Earthfill_Embankment	17.3	886.75	360000	4280000	250000	3920000	I	1008
219	KA06LH0224	Mayasandra Tank	Karnataka Water Resources Department	13.08583333	76.75527778		Cauvery	Shimsha Valley	Mayasandra	II	Earthfill_Embankment	10.7	1410	310000	4860000	2100000	3885000	I	116.86
114	KA06MH0116	Haihole	Karnataka Water Resources Department	13.88722222	75.47833333	1979	Krishna	Haihole	Shimoga	II	Earthfill_Embankment	21	688	3760000	5110000	984180	3720000	I	126.88
109	KA06MH0111	Rangasamudra Tank	Karnataka Water Resources Department	15.94388889	75.85055556	1978	Krishna	Rangasamudra	Bagalkot	II	Other	23.8	317	131300	4693100	728200	3702000	I	523.86
