Sr.No	PIC	Name of Dam	Latitude	Longitude	Year of Completion	River Basin	River	Neareast City	Seismic Zone	Dam Type	Height above Lowest Foundation Level	Dam Length	Volume Content of Dam	Gross Storage Capacity	Reservoir Area	Effective Storage Capacity	Purpose	Designed Spillway Capacity
1280	MH09LH1293	PIMPALKOTA BHOLANE	20.91944444	74.98333333	1992	Tapi	Local Nalla	Parola	III	Earthfill_Embankment	11.93	1350	138110	2410000	980000	2092000	I	435
1965	MH09LH2004	Shendurni	20.6375	75.56583333	2008	Tapi	Shyamsing Buwa	Jamner	II	Earthfill_Embankment	11.98	1440	483340	2138000	756000	2091000	I	191
629	MH09MH0636	GONDVIHIR	20.88527778	78.03333333	1977	Tapi	Local Nalla	Achalpur	III	Earthfill_Embankment	15.7	1320	306000	2380000	550000	2090000	I	480.10
2001	MH09MH2040	Kachurli	19.93305556	73.49444444	2011	Godavari	Damanganga	Trimbakeshwar	IV	Earthfill_Embankment	29.40	345	249330	2117000	180000	2087000	I	43
1028	MH09MH1040	VARANDH	18.14611111	73.585	1984	West Flowing Rivers from Tapi to Tadri	Local Nala	Mahad	IV	Earthfill_Embankment	26	506	232000	2168000	310000	2084000	I	219.00
414	MH09MH0417	GHOTI	20.41805556	78.28638889	1974	Godavari	Local Nalla	Kalamb	II	Earthfill_Embankment	15.21	470	185000	2340000	140000	2080000	I	264.00
1146	MH09LH1159	SARWADI	19.71833333	76.20333333	1987	Godavari	Local Nalla	Jalna	II	Earthfill_Embankment	12.8	1393	111000	2270000	1050000	2080000	I	343.00
303	MH09LH0305	KANKRAJ	20.9225	75.07055556	1972	Tapi	Local Nalla	Parola	III	Earthfill_Embankment	11.21	2005	179130	2452000	1030000	2076000	I	585.00
1248	MH09LH1261	WALKESHWAR	20.96916667	79.97611111	1991	Godavari	Local Nalla	Nagpur	II	Earthfill_Embankment	10.5	1422		2131000	96350	2074000	I	124.91
1342	MH09LH1356	PACHAMBA	19.9825	76.72444444	1995	Godavari	Local Nalla	Risod	II	Earthfill_Embankment	10.1	1080	212000	2242000	71260	2073000	I	230.00
191	MH09LH0192	NASARDI	21.01555556	74.96611111	1969	Tapi	nali	Amalner	III	Earthfill_Embankment	12.1	1011	99000	2323000	840000	2071000	I	576
861	MH09MH0871	NAREWADI	16.14888889	74.42166667	1981	Krishna	Local Nalla	Gadhinglaj	III	Earthfill_Embankment	23.75	455	85000	2210000	353000	2070000	I	282.00
572	MH09MH0578	SHALGAON	17.39277778	74.27888889	1976	Krishna	Local Nalla	Khanapur.	III	Earthfill_Embankment	15	900.00	173240	2287000	780000	2069000	I	406.00
1020	MH09LH1032	DEULGAON KUMBHEPAL	19.96611111	76.48777778	1984	Godavari	Local Nalla	Lonar	II	Earthfill_Embankment	13.36	990	193000	2410000	7079000	2060000	I	175.00
1654	MH09MH1668	GADDAVANE (SHINDEWADI)	18.5	73.64416667	2007	Krishna	Local Nala	Mulshi	III	Earthfill_Embankment	26.2	260	254290	2150000	104010	2060000	I	96.00
2332	MH09MH2371	Dogari	18.02777778	76.09777778		Krishna	Local Nalla	Tuljapur	III	Earthfill_Embankment	26.30	900	131740	2060000	387500	2060000		30.53
703	MH09MH0710	KHATKALI	18.87583333	75.76111111	1978	Godavari	Local Nalla	Beed	III	Earthfill_Embankment	17.14	347	198000	2279000	490000	2058000	I	372.00
359	MH09LH0361	BHUTANIHIPPARGA	18.37666667	77.49055556	1973	Godavari	Local Nalla	Diglur	II	Earthfill_Embankment	14.62	2246	450000	2276000	578000	2055000	I	353.00
921	MH09LH0932	DASTAPUR	20.24583333	77.30416667	1982	Godavari	Local Nalla	Amravati	II	Earthfill_Embankment	14.02	640	147000	2310000	718000	2055000	I	447.00
1056	MH09MH1068	KHARADE	19.47166667	73.55333333	1985	West Flowing Rivers from Tapi to Tadri	Local Nala	Shahapur	III	Earthfill_Embankment	23.77	303	204500	2316000	276000	2054000	I	127
797	MH09MH0806	SOLEKH	19.11555556	73.36555556	1980	West Flowing Rivers from Tapi to Tadri	Local Nala	Karjat	III	Earthfill_Embankment	21.6	325	193660	2334000	340000	2050000	I/S/O	73.23
1005	MH09MH1017	KARLE	18.14194444	73	1984	West Flowing Rivers from Tapi to Tadri	Local Nala	Shriwardhan	IV	Earthfill_Embankment	23.5	413	216910	2084000	580000	2050000	I/S	38
1402	MH09LH1416	WAIGOUL	20.14083333	77.64611111	1996	Godavari	Local Nalla	Manora	II	Earthfill_Embankment	11.85	1226	160000	2220000	124000	2050000	I	103.90
1711	MH09LH1731	DHANIKWADA	19.35694444	77.53527778		Godavari	Local Nalla	Hadgaon	II	Earthfill_Embankment	14.9	764.00	215000	2170000	260000	2050000	I	219.00
2273	MH09MH2312	Taltondi	19.71361111	76.39361111		Godavari	Local Nalla	Mantha	IV	Earthfill_Embankment	24	379		2260000		2050000		
1097	MH09MH1109	KHUMARI (RAMTEK)	21.48083333	79.28111111	1986	Godavari	Gehuru	Ramtek	II	Earthfill_Embankment	15.24	126	38000	2120000	48000	2046000	I	92.80
1548	MH09MH1562	MORDE	17	73.66638889	2001	West Flowing Rivers from Tapi to Tadri	Local Nala	Sangneshwar	IV	Earthfill_Embankment	28.9	327	495470	2091000	221800	2045450	I	58.91
1071	MH09LH1083	DHOKI	18.32972222	76.12138889	1985	Godavari	Local Nalla	Osmanabad	III	Earthfill_Embankment	14	92.00	92030	2210000	71000	2045000	I	287.00
1421	MH09LH1435	PATHRUD	18.56333333	75.53638889	1997	Krishna	Local Nalla	Bhoom	III	Earthfill_Embankment	13.8	960	113070	2352000	200000	2043000	I	319.50
172	MH09LH0173	APCHUNDA	18.20083333	76.59416667	1968	Godavari	Local Nalla	Ausa	II	Earthfill_Embankment	11.6	1219	157000	2229000	794000	2042000	I	322
769	MH09MH0777	DHORASANGVI	19.11805556	77.02555556	1979	Godavari	Local Nalla	Udgir	II	Earthfill_Embankment	19.15	745	135000	2250000	639000	2040000	I	370
1155	MH09MH1168	KAKANI	20.855	74.42333333	1987	Tapi	Umrad	Sakri	III	Earthfill_Embankment	21.6	780	204000	2570000	70000	2040000	I	782.00
1802	MH09MH1845	WALWAND	18.47833333	74.575		Krishna	Local Nalla	Daund	III	Earthfill_Embankment	26.36	1145	0	2040000		2040000		1215
1942	MH09LH1981	Kokanipada	21.36055556	74.13333333	1985	Tapi	Khodi Nalla	Nandurbar	III	Earthfill_Embankment	13.55	252	280120	2245000	88000	2040000	I	351.12
440	MH09LH0444	VEET	18.36277778	75.10416667	1974	Krishna	Local Nala	Karmala	III	Earthfill_Embankment	10.21	390	205000	2527000	688200	2039000	I	721.48
884	MH09MH0894	RAJURI	18.34583333	75.00444444	1981	Krishna	Local Nalla	Karmala	III	Earthfill_Embankment	19.29	609	156000	2520000	566800	2039000	I	694.33
2288	MH09MH2327	Jambsamarth	19.41694444	76.09888889		Godavari	Local Nalla	ghanshwangi	IV	Earthfill_Embankment	18.50	1470		2434000		2038000		
229	MH09LH0231	NANAND	18.12083333	76.71916667	1970	Godavari	Local Nalla	Ausa	II	Earthfill_Embankment	11.7	1550	192000	2220000	960000	2033000	I	307
1418	MH09LH1432	PAWANA	19.33111111	77.86833333	1997	Godavari	Local Nalla	Hadgaon...	II	Earthfill_Embankment	14.96	1081.00	164000	2153000	1207000	2033000	I	217.00
815	MH09MH0824	ADIVALI	19.43138889	73.52527778	1980	West Flowing Rivers from Tapi to Tadri	Local Nala	Shahapur	III	Earthfill_Embankment	125.52	386	149000	2221000	307000	2030000	I	245.56
1611	MH09HH1625	PARULE	16.76111111	73.70166667	2004	West Flowing Rivers from Tapi to Tadri	Local Nala	Rajapur	III	Earthfill_Embankment	30.84	323.42	427040	2060000	220000	2030000	I	40.32
400	MH09LH0403	AGATATOLA	20.25416667	80.50833333	1974	Godavari	Local Nalla	Deori	II	Earthfill_Embankment	11.48	1020	0	2147000	7770	2027000	I	154.10
943	MH09LH0954	WANI	20.61972222	79.30138889	1983	Godavari	Local Nalla	Bhivapur	II	Earthfill_Embankment	11.08	434	58000	2124000	32000	2021000	I	111.00
1262	MH09MH1275	KHAIRE	18.04555556	73.34111111	1991	West Flowing Rivers from Tapi to Tadri	Local Nala	Mahad	IV	Earthfill_Embankment	28.09	253	215000	2154000	275000	2021000	I/S	339
1968	MH09LH2007	Vanegaon Rajuri	20.63138889	75.42444444	1998	Tapi	Local Nalla	Pachora	II	Earthfill_Embankment	12.13	2200	253500	2513000	1250050	2021000	I	853
375	MH09MH0377	MASALWADI	17.67138889	74.83833333	1973	Krishna	Local Nalla	Man	III	Earthfill_Embankment	15.25	463.00	67000	2410000	708000	2020000	I	840.00
1962	MH09LH2001	Pimpalgaon Golait	19.93777778	76.63972222	2008	Tapi	Local Nalla	Jamner	II	Earthfill_Embankment	13.76	1820	473300	2999000	1014100	2019000	I	132.03
1038	MH09MH1050	NHAVI	17.31444444	74.29805556	1984	Krishna	Local Nalla	Khanapur.	III	Earthfill_Embankment	17.48	995	134000	2192000	469600	2017000	I	314.00
899	MH09MH0909	USRAN	18.90722222	73.14777778	1982	West Flowing Rivers from Tapi to Tadri	Local Nala	Panvel	III	Earthfill_Embankment	22.93	249	79000	2055000	676000	2015000	I	74
1691	MH09MH1707	JAMBRUNG	19.02111111	73.53		West Flowing Rivers from Tapi to Tadri	Local Nala	Karjat	III	Other	27.2	563	393150	256470000	257850	2013170	I	119.47
1226	MH09MH1239	GHODAMBE	20.51111111	73.74805556	1990	Tapi	Local Nalla	Surgana	III	Earthfill_Embankment	18.56	451	164000	2220000	478080	2010000	I	431.00
1313	MH09MH1326	HARALKHED	20.61611111	76.20722222	1994	Tapi	Local Nalla	Chikhali	II	Earthfill_Embankment	20.01	250	161000	2260000	326000	2010000	I	272.00
1697	MH09LH1714	KHURSAPUR	21.19777778	79.61833333	1984	Godavari	Local Nalla	Bhandara	II	Earthfill_Embankment	13.24	824	56020	2100000	1164000	2010000	I	148.07
2104	MH09MH2143	Kuttardoh	20.35694444	77.10361111	2012	Tapi	Local Nalla	Akola	II	Earthfill_Embankment	17.98	1090	403000	2223000	454000	2010000	I	230
569	MH09LH0575	PARDESHWADI	19.815	75.20972222	1976	Godavari	Local Nalla	Gangapur.	II	Earthfill_Embankment	10.5	2460	175000	2193000	1039000	2004000	I	323.00
79	MH09MH0079	KAMBALI	18.93388889	75.01	1958	Krishna	kambali	Ashti	III	Earthfill_Embankment	15.6	1500.00	306000	2080000	1640000	2000000	I	1349
